pclass;survived;sex;age;sibsp;parch;fare
3;1;1;;0;0;7.75
3;1;0;;0;0;8.11
3;0;0;34;0;0;6.50
3;1;0;26;0;0;7.78
3;0;0;22;0;0;7.80
3;0;0;33;0;0;8.65
3;0;0;31;0;0;7.78
3;0;0;29;0;0;7.85
3;1;0;4;1;1;11.13
3;1;1;1;1;1;11.13
3;0;0;49;0;0;0.00
3;0;0;33;0;0;7.78
3;0;0;19;0;0;0.00
3;1;1;27;0;2;11.13
3;0;0;;1;2;23.45
3;0;1;;1;2;23.45
3;0;0;;1;2;23.45
3;0;1;;1;2;23.45
3;0;0;23;0;0;7.90
3;1;0;32;0;0;7.85
3;0;0;27;0;0;7.85
3;0;1;20;1;0;9.83
3;0;1;21;1;0;9.83
3;1;0;32;0;0;7.93
3;0;0;17;0;0;7.13
3;0;0;21;0;0;8.43
3;0;0;30;0;0;7.90
3;1;0;21;0;0;7.80
3;0;0;33;0;0;7.85
3;0;0;22;0;0;7.52
3;1;1;4;0;1;13.42
3;1;0;39;0;1;13.42
3;0;0;;0;0;7.23
3;0;0;18.5;0;0;7.23
3;0;0;;0;0;7.75
3;0;0;;0;0;7.25
3;1;1;;0;0;7.75
3;1;1;;0;0;7.75
3;0;0;34.5;0;0;7.83
3;0;0;44;0;0;8.05
3;1;0;;0;0;7.75
3;0;0;;1;0;14.45
3;0;1;;1;0;14.45
3;0;0;;1;0;7.75
3;0;0;;1;0;7.75
3;0;0;;0;0;7.74
3;0;1;22;2;0;8.66
3;0;0;26;2;0;8.66
3;1;1;4;0;2;22.03
3;1;0;29;3;1;22.03
3;1;1;26;1;1;22.03
3;0;1;1;1;1;12.18
3;0;0;18;1;1;7.85
3;0;1;36;0;2;12.18
3;0;0;;0;0;7.90
3;1;0;25;0;0;7.23
3;0;0;;0;0;7.23
3;0;1;37;0;0;9.59
3;0;0;;0;0;7.90
3;1;0;;0;0;56.50
3;0;0;;0;0;56.50
3;1;1;22;0;0;7.25
3;0;0;;0;0;7.75
3;1;0;26;0;0;56.50
3;0;0;29;0;0;9.48
3;0;0;29;0;0;7.78
3;0;0;22;0;0;7.78
3;1;0;22;0;0;7.23
3;0;0;;3;1;25.47
3;0;1;;3;1;25.47
3;0;1;;3;1;25.47
3;0;1;;3;1;25.47
3;0;1;;0;4;25.47
3;0;0;32;0;0;7.93
3;0;0;34.5;0;0;6.44
3;0;1;;1;0;15.50
3;0;0;;1;0;15.50
3;0;0;36;0;0;0.00
3;0;0;39;0;0;24.15
3;0;0;24;0;0;9.50
3;0;1;25;0;0;7.78
3;0;1;45;0;0;7.75
3;0;0;36;1;0;15.55
3;0;1;30;1;0;15.55
3;1;0;20;1;0;7.93
3;0;0;;0;0;7.88
3;0;0;28;0;0;56.50
3;0;0;;0;0;7.55
3;0;0;30;1;0;16.10
3;0;1;26;1;0;16.10
3;0;0;;0;0;7.88
3;0;0;20.5;0;0;7.25
3;1;0;27;0;0;8.66
3;0;0;51;0;0;7.05
3;1;1;23;0;0;7.85
3;1;0;32;0;0;7.58
3;0;0;;0;0;7.90
3;0;0;;0;0;7.55
3;1;1;;0;0;7.75
3;1;0;24;0;0;7.14
3;0;0;22;0;0;7.13
3;0;1;;0;0;7.88
3;0;0;;0;0;7.75
3;0;0;;0;0;8.05
3;0;0;29;0;0;7.93
3;1;0;;0;0;7.23
3;0;1;30.5;0;0;7.75
3;1;1;;0;0;7.74
3;0;0;;0;0;7.23
3;0;0;35;0;0;7.90
3;0;0;33;0;0;7.90
3;1;1;;0;0;7.23
3;0;0;;0;0;7.90
3;1;1;;0;0;7.75
3;1;0;;0;0;7.75
3;1;1;;2;0;23.25
3;1;1;;2;0;23.25
3;1;0;;2;0;23.25
3;1;1;;0;0;7.79
3;0;0;;0;0;15.50
3;1;1;;0;0;7.88
3;1;1;15;0;0;8.03
3;0;1;35;0;0;7.75
3;0;0;;0;0;7.75
3;0;0;24;1;0;16.10
3;0;1;19;1;0;16.10
3;0;1;;0;0;7.75
3;0;1;;0;0;8.05
3;0;1;;0;0;8.05
3;0;0;55.5;0;0;8.05
3;0;0;;0;0;7.75
3;1;0;21;0;0;7.78
3;0;0;;0;0;8.05
3;0;0;24;0;0;7.90
3;0;0;21;0;0;7.90
3;0;0;28;0;0;7.90
3;0;0;;0;0;7.90
3;1;1;;0;0;7.88
3;0;0;25;0;0;7.65
3;1;0;6;0;1;12.48
3;1;1;27;0;1;12.48
3;0;0;;0;0;8.05
3;1;1;;1;0;24.15
3;0;0;;1;0;24.15
3;0;0;;0;0;8.46
3;0;0;34;0;0;8.05
3;0;0;;0;0;7.75
3;1;0;;0;0;7.78
3;1;0;;1;1;15.25
3;1;0;;1;1;15.25
3;1;1;;0;2;15.25
3;1;1;;0;0;7.23
3;0;0;;0;0;8.05
3;1;1;;0;0;7.73
3;1;1;24;0;0;7.75
3;0;0;;0;0;8.05
3;1;1;;1;0;15.50
3;1;1;;1;0;15.50
3;1;1;;0;0;15.50
3;0;0;18;0;0;7.75
3;0;0;22;0;0;7.90
3;1;1;15;0;0;7.23
3;1;1;1;0;2;15.74
3;1;0;20;1;1;15.74
3;1;1;19;1;1;15.74
3;0;0;33;0;0;8.05
3;0;0;;0;0;7.90
3;0;0;;0;0;7.23
3;0;1;;0;0;7.75
3;0;0;;0;0;7.90
3;1;0;12;1;0;11.24
3;1;1;14;1;0;11.24
3;0;1;29;0;0;7.93
3;0;0;28;0;0;8.05
3;1;1;18;0;0;7.78
3;1;1;26;0;0;7.85
3;0;0;21;0;0;7.85
3;0;0;41;0;0;7.13
3;1;0;39;0;0;7.93
3;0;0;21;0;0;7.80
3;0;0;28.5;0;0;7.23
3;1;1;22;0;0;7.75
3;0;0;61;0;0;6.24
3;0;0;;1;0;15.50
3;0;0;;0;0;7.83
3;1;1;;1;0;15.50
3;0;0;;0;0;7.73
3;0;0;;0;0;7.75
3;0;0;;0;0;7.75
3;0;0;23;0;0;9.23
3;0;1;;0;0;7.75
3;1;1;;0;0;7.75
3;1;1;;0;0;7.88
3;1;1;22;0;0;7.78
3;1;0;;0;0;7.75
3;1;1;;0;0;7.83
3;1;0;9;0;1;3.17
3;0;0;28;0;0;22.53
3;0;0;42;0;1;8.40
3;0;0;;0;0;7.31
3;0;1;31;0;0;7.85
3;0;0;28;0;0;7.85
3;1;0;32;0;0;7.78
3;0;0;20;0;0;9.23
3;0;1;23;0;0;8.66
3;0;1;20;0;0;8.66
3;0;0;20;0;0;8.66
3;0;0;16;0;0;9.22
3;1;1;31;0;0;8.68
3;0;1;;0;0;7.63
3;0;0;2;3;1;21.08
3;0;0;6;3;1;21.08
3;0;1;3;3;1;21.08
3;0;1;8;3;1;21.08
3;0;1;29;0;4;21.08
3;0;0;1;4;1;39.69
3;0;0;7;4;1;39.69
3;0;0;2;4;1;39.69
3;0;0;16;4;1;39.69
3;0;0;14;4;1;39.69
3;0;1;41;0;5;39.69
3;0;0;21;0;0;8.66
3;0;0;19;0;0;14.50
3;0;0;;0;0;8.71
3;0;0;32;0;0;7.90
3;0;0;0.8;1;1;13.78
3;0;1;3;1;1;13.78
3;0;1;26;0;2;13.78
3;0;0;;0;0;7.00
3;0;0;;0;0;7.78
3;0;0;;0;0;8.05
3;0;0;21;0;0;7.93
3;0;0;25;0;0;7.93
3;0;0;22;0;0;7.25
3;1;0;25;1;0;7.78
3;1;0;;1;1;22.36
3;1;1;;1;1;22.36
3;1;1;;0;2;22.36
3;0;1;;0;0;8.14
3;0;0;24;0;0;8.05
3;0;1;28;0;0;7.90
3;0;0;19;0;0;7.90
3;0;0;;0;0;7.90
3;0;0;25;1;0;7.78
3;0;1;18;0;0;7.78
3;1;0;32;0;0;8.05
3;0;0;;0;0;7.90
3;0;0;17;0;0;8.66
3;0;0;24;0;0;8.66
3;0;0;;0;0;7.90
3;0;1;;0;0;8.11
3;0;0;;0;0;7.23
3;0;0;;0;0;7.25
3;0;0;38;0;0;7.90
3;0;0;21;0;0;8.05
3;0;0;10;4;1;29.13
3;0;0;4;4;1;29.13
3;0;0;7;4;1;29.13
3;0;0;2;4;1;29.13
3;0;0;8;4;1;29.13
3;0;1;39;0;5;29.13
3;0;1;22;0;0;39.69
3;0;0;35;0;0;7.13
3;1;1;;0;0;7.72
3;0;0;;0;0;14.50
3;0;1;;0;0;14.50
3;0;0;50;1;0;14.50
3;0;1;47;1;0;14.50
3;0;0;;0;0;8.05
3;0;0;;0;0;7.78
3;0;1;2;1;1;20.21
3;0;0;18;1;1;20.21
3;0;1;41;0;2;20.21
3;1;1;;0;0;8.05
3;0;0;50;0;0;8.05
3;0;0;16;0;0;8.05
3;1;0;;0;0;7.75
3;0;0;;0;0;24.15
3;0;0;;0;0;7.23
3;0;0;25;0;0;7.23
3;0;0;;0;0;7.23
3;0;0;;0;0;7.73
3;0;0;;0;0;7.58
3;0;0;38.5;0;0;7.25
3;0;0;;8;2;69.55
3;0;0;14.5;8;2;69.55
3;0;1;;8;2;69.55
3;0;1;;8;2;69.55
3;0;1;;8;2;69.55
3;0;1;;8;2;69.55
3;0;0;;8;2;69.55
3;0;0;;8;2;69.55
3;0;0;;8;2;69.55
3;0;0;;1;9;69.55
3;0;1;;1;9;69.55
3;0;0;24;0;0;9.33
3;1;1;21;0;0;7.65
3;0;0;39;0;0;7.93
3;0;0;;2;0;21.68
3;0;0;;2;0;21.68
3;0;0;;2;0;21.68
3;1;1;1;1;1;16.70
3;1;1;24;0;2;16.70
3;1;1;4;1;1;16.70
3;1;0;25;0;0;9.50
3;0;0;20;0;0;8.05
3;0;0;24.5;0;0;8.05
3;0;0;;0;0;7.73
3;0;0;;0;0;7.90
3;0;0;;0;0;7.75
3;1;0;29;0;0;9.50
3;0;0;;0;0;15.10
3;1;1;;0;0;7.78
3;0;0;;0;0;8.05
3;0;0;;0;0;8.05
3;0;0;22;0;0;7.23
3;0;0;;0;0;8.05
3;0;0;40;0;0;7.90
3;0;0;21;0;0;7.93
3;1;1;18;0;0;7.50
3;0;0;4;3;2;27.90
3;0;0;10;3;2;27.90
3;0;1;9;3;2;27.90
3;0;1;2;3;2;27.90
3;0;0;40;1;4;27.90
3;0;1;45;1;4;27.90
3;0;0;;0;0;7.90
3;0;0;;0;0;8.05
3;0;0;;0;0;8.66
3;0;0;;0;0;7.75
3;1;1;;0;0;7.73
3;0;0;19;0;0;7.65
3;0;0;30;0;0;8.05
3;0;0;;0;0;8.05
3;0;0;32;0;0;8.05
3;0;0;;0;0;7.90
3;0;0;33;0;0;8.66
3;1;1;23;0;0;7.55
3;0;0;21;0;0;8.05
3;0;0;60.5;0;0;
3;0;0;19;0;0;7.90
3;0;1;22;0;0;9.84
3;1;0;31;0;0;7.93
3;0;0;27;0;0;8.66
3;0;1;2;0;1;10.46
3;0;1;29;1;1;10.46
3;1;0;16;0;0;8.05
3;1;0;44;0;0;7.93
3;0;0;25;0;0;7.05
3;0;0;74;0;0;7.78
3;1;0;14;0;0;9.23
3;0;0;24;0;0;7.80
3;1;0;25;0;0;7.80
3;0;0;34;0;0;8.05
3;1;0;0.4;0;1;8.52
3;0;0;;1;0;6.44
3;0;0;;0;0;6.44
3;0;0;;0;0;7.23
3;1;1;16;1;1;8.52
3;0;0;;0;0;8.05
3;0;0;;1;0;16.10
3;1;1;;1;0;16.10
3;0;0;32;0;0;7.93
3;0;0;;0;0;7.75
3;0;0;;0;0;7.90
3;0;0;30.5;0;0;8.05
3;0;0;44;0;0;8.05
3;0;0;;0;0;7.23
3;1;0;25;0;0;0.00
3;0;0;;0;0;7.23
3;1;0;7;1;1;15.25
3;1;1;9;1;1;15.25
3;1;1;29;0;2;15.25
3;0;0;36;0;0;7.90
3;1;1;18;0;0;9.84
3;1;1;63;0;0;9.59
3;0;0;;1;1;14.50
3;0;0;11.5;1;1;14.50
3;0;0;40.5;0;2;14.50
3;0;1;10;0;2;24.15
3;0;0;36;1;1;24.15
3;0;1;30;1;1;24.15
3;0;0;;0;0;9.50
3;0;0;33;0;0;9.50
3;0;0;28;0;0;9.50
3;0;0;28;0;0;9.50
3;0;0;47;0;0;9.00
3;0;1;18;2;0;18.00
3;0;0;31;3;0;18.00
3;0;0;16;2;0;18.00
3;0;1;31;1;0;18.00
3;1;0;22;0;0;7.23
3;0;0;20;0;0;7.85
3;0;1;14;0;0;7.85
3;0;0;22;0;0;7.90
3;0;0;22;0;0;9.00
3;0;0;;0;0;8.05
3;0;0;;0;0;7.55
3;0;0;;0;0;8.05
3;0;0;32.5;0;0;9.50
3;1;1;38;0;0;7.23
3;0;0;51;0;0;7.75
3;0;0;18;1;0;6.50
3;0;0;21;1;0;6.50
3;1;1;47;1;0;7.00
3;0;0;;0;0;8.71
3;0;0;;0;0;7.55
3;0;0;;0;0;8.05
3;0;0;28.5;0;0;16.10
3;0;0;21;0;0;7.25
3;0;0;27;0;0;8.66
3;0;0;;0;0;7.25
3;0;0;36;0;0;9.50
3;0;0;27;1;0;14.45
3;1;1;15;1;0;14.45
3;0;0;45.5;0;0;7.23
3;0;0;;0;0;7.23
3;0;0;;0;0;14.46
3;0;1;14.5;1;0;14.45
3;0;1;;1;0;14.45
3;0;0;26.5;0;0;7.23
3;0;0;27;0;0;7.23
3;0;0;29;0;0;7.88
;;;;;;

